,Perfil Pymetrics,Altamente Recomendado,Operaciones-Calidad,MTTO-DIMA,Comercial-Planeamiento,DIGI-SC,Resto-Soft,Actividad Grupal.1,Apto AG,Ingles,Apto,Destacado,Destacado Pym,Ingresados Si/No
0,4,1,2,1,2,0,0,5,0,4.0,1,1,1,1
1,4,1,2,0,0,0,0,5,0,4.0,1,1,1,0
3,1,1,2,2,0,1,2,5,0,4.0,1,1,1,1
4,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0
5,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0
6,10,1,2,0,1,2,1,0,0,0.0,0,0,0,0
7,10,0,0,0,0,0,0,0,0,0.0,0,0,0,0
8,4,0,0,1,0,0,0,4,0,4.0,1,0,0,1
9,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0
11,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0
15,1,1,1,1,0,2,0,2,0,4.0,0,0,0,1
16,10,0,0,0,0,0,0,0,0,0.0,0,0,0,0
18,4,1,2,2,0,0,0,0,0,0.0,0,0,0,0
23,4,1,2,0,2,2,2,3,0,3.0,1,0,0,0
24,4,1,1,2,0,1,2,4,0,3.0,1,1,1,1
39,10,0,0,1,0,0,2,0,0,0.0,0,0,0,0
51,1,1,2,1,1,0,0,0,0,0.0,0,0,0,0
56,4,0,1,0,0,0,0,0,0,0.0,0,0,0,0
67,10,0,1,1,0,0,2,0,0,0.0,0,0,0,0
69,10,1,0,1,2,1,1,0,0,0.0,0,0,0,0
82,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0
85,4,0,1,1,0,0,0,0,0,0.0,0,0,0,0
89,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0
90,10,1,0,1,0,2,0,0,0,0.0,0,0,0,0
91,10,1,0,2,0,1,1,0,0,3.0,0,0,0,0
92,4,1,0,2,2,1,1,0,0,0.0,0,0,0,0
95,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0
102,10,1,2,2,0,0,2,0,0,0.0,0,0,0,0
104,1,1,0,2,0,0,0,0,0,0.0,0,0,0,0
105,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0
108,1,1,2,2,0,2,1,0,0,0.0,0,0,0,0
112,1,1,2,2,0,0,0,4,0,4.0,1,1,1,1
113,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0
114,10,1,2,2,0,0,1,0,0,0.0,0,0,0,0
